Throughput,Cons_Node0,Cons_Node1,Cons_Node2,Cons_Total
159.999,10.595,14.2541,10.595,2291.76433
162.038,10.6602,14.3843,10.6602,2327.46903
164.076,10.7261,14.5163,10.7261,2363.43753
166.113,10.7929,14.6498,10.7929,2399.67313
168.152,10.8605,14.785,10.8605,2436.17913
170.191,10.9289,14.9219,10.9289,2472.95883
172.228,10.9982,15.0604,10.9982,2510.01563
174.266,11.0682,15.2005,11.0682,2547.35253
176.304,11.1391,15.3422,11.1391,2584.97293
178.342,11.2108,15.4856,11.2108,2622.88013
180.379,11.2833,15.6307,11.2833,2661.07743
182.419,11.3567,15.7773,11.3567,2699.56813
184.457,11.4308,15.9256,11.4308,2738.35533
186.495,11.5058,16.0756,11.5058,2777.44253
188.531,11.5816,16.2272,11.5816,2816.83293
190.57,11.6582,16.3804,11.6582,2856.52973
192.61,11.7356,16.5353,11.7356,2896.53623
194.647,11.8139,16.6918,11.8139,2936.85583
196.685,11.893,16.8499,11.893,2977.49173
198.724,11.9728,17.0097,11.9728,3018.44703
